target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
VNG_RS00090	VNG_RS08410	0.997784						0	-1.000000	0.099869
VNG_RS00745	VNG_RS05800	0.997776						0	1.000000	0.099769
VNG_RS12475	VNG_RS05805	0.997769						0	1.000000	0.099678
VNG_RS13220	VNG_RS07385	0.997761						0	-1.000000	0.099651
VNG_RS12320	VNG_RS00275	0.997754						0	1.000000	0.099598
VNG_RS12225	VNG_RS01520	0.997746						0	1.000000	0.099470
VNG_RS01140	VNG_RS08745	0.997739						0	-1.000000	0.099085
VNG_RS09525	VNG_RS01465	0.997731						0	-1.000000	0.099072
VNG_RS11395	VNG_RS11385	0.997723						0	1.000000	0.098864
VNG_RS03680	VNG_RS04760	0.997716						0	1.000000	0.098755
VNG_RS00715	VNG_RS01755	0.997708						0	-1.000000	0.098733
VNG_RS12575	VNG_RS03275	0.997701						0	1.000000	0.098720
VNG_RS05695	VNG_RS03395	0.997693						0	1.000000	0.098577
VNG_RS13685	VNG_RS08105	0.997686						0	-1.000000	0.098509
VNG_RS13520	VNG_RS07155	0.997678						0	1.000000	0.098469
VNG_RS09705	VNG_RS03010	0.997671						1	1.000000	0.098310
VNG_RS08810	VNG_RS02095	0.997663						0	1.000000	0.098190
VNG_RS05720	VNG_RS05700	0.997656						1	1.000000	0.098113
VNG_RS10045	VNG_RS11895	0.997648						0	1.000000	0.097799
VNG_RS01715	VNG_RS07155	0.997641						0	-1.000000	0.097754
VNG_RS01965	VNG_RS04015	0.997633						0	1.000000	0.097740
VNG_RS06435	VNG_RS08745	0.997625						0	1.000000	0.097552
VNG_RS11200	VNG_RS04845	0.997618						0	1.000000	0.097493
VNG_RS04400	VNG_RS02765	0.997610						0	-1.000000	0.097479
VNG_RS13675	VNG_RS11535	0.997603						0	1.000000	0.096829
VNG_RS04110	VNG_RS01465	0.997595						0	1.000000	0.096748
VNG_RS07565	VNG_RS08745	0.997588						0	-1.000000	0.096652
VNG_RS11320	VNG_RS01465	0.997580						0	1.000000	0.096643
VNG_RS05150	VNG_RS01520	0.997573						0	1.000000	0.096474
VNG_RS03015	VNG_RS10490	0.997565						0	-1.000000	0.096452
VNG_RS01765	VNG_RS01005	0.997558						0	1.000000	0.096206
VNG_RS12230	VNG_RS05455	0.997550						0	-1.000000	0.096091
VNG_RS12220	VNG_RS10335	0.997543						0	1.000000	0.096080
VNG_RS08990	VNG_RS03275	0.997535						0	1.000000	0.096047
VNG_RS07565	VNG_RS01165	0.997527						0	1.000000	0.096005
VNG_RS07000	VNG_RS10490	0.997520						0	1.000000	0.095878
VNG_RS00585	VNG_RS01250	0.997512						0	-1.000000	0.095835
VNG_RS04800	VNG_RS07385	0.997505						0	1.000000	0.095756
VNG_RS12470	VNG_RS01005	0.997497						0	1.000000	0.095009
VNG_RS01495	VNG_RS01250	0.997490						0	-1.000000	0.094948
VNG_RS09430	VNG_RS02880	0.997482						0	-1.000000	0.094725
VNG_RS12225	VNG_RS01035	0.997475						0	1.000000	0.094642
VNG_RS00715	VNG_RS10370	0.997467						0	-1.000000	0.094572
VNG_RS03735	VNG_RS01645	0.997460						0	-1.000000	0.094237
VNG_RS11130	VNG_RS11535	0.997452						0	1.000000	0.094180
VNG_RS03875	VNG_RS08410	0.997445						0	1.000000	0.094037
VNG_RS07845	VNG_RS03570	0.997437						0	1.000000	0.093896
VNG_RS07545	VNG_RS01465	0.997429						0	-1.000000	0.093809
VNG_RS07825	VNG_RS01165	0.997422						0	1.000000	0.093237
VNG_RS09435	VNG_RS08745	0.997414						0	1.000000	0.093104
VNG_RS08425	VNG_RS00640	0.997407						0	-1.000000	0.092809
VNG_RS05860	VNG_RS07470	0.997399						0	-1.000000	0.092763
VNG_RS11475	VNG_RS03335	0.997392						0	-1.000000	0.092721
VNG_RS00265	VNG_RS00640	0.997384						0	1.000000	0.092504
VNG_RS11190	VNG_RS11535	0.997377						0	1.000000	0.092469
VNG_RS10450	VNG_RS08510	0.997369						1	1.000000	0.092336
VNG_RS06345	VNG_RS05785	0.997362						0	-1.000000	0.092190
VNG_RS12750	VNG_RS01755	0.997354						0	1.000000	0.092098
VNG_RS02430	VNG_RS04605	0.997347						0	1.000000	0.091879
VNG_RS06290	VNG_RS09550	0.997339						1	1.000000	0.091758
VNG_RS06345	VNG_RS03395	0.997331						0	1.000000	0.091719
VNG_RS13180	VNG_RS04015	0.997324						0	1.000000	0.091657
VNG_RS11125	VNG_RS02845	0.997316						0	-1.000000	0.091372
VNG_RS05165	VNG_RS02325	0.997309						0	-1.000000	0.091169
VNG_RS11845	VNG_RS07155	0.997301						0	1.000000	0.090917
VNG_RS10490	VNG_RS05640	0.997294						0	-1.000000	0.090878
VNG_RS09085	VNG_RS09875	0.997286						0	1.000000	0.090797
VNG_RS02910	VNG_RS01165	0.997279						0	1.000000	0.090690
VNG_RS00080	VNG_RS05785	0.997271						0	-1.000000	0.090358
VNG_RS07830	VNG_RS12310	0.997264						0	1.000000	0.090292
VNG_RS13260	VNG_RS05030	0.997256						0	-1.000000	0.089998
VNG_RS13190	VNG_RS06030	0.997249						0	1.000000	0.089900
VNG_RS12325	VNG_RS00725	0.997241						0	-1.000000	0.089878
VNG_RS11680	VNG_RS11535	0.997233						0	1.000000	0.089719
VNG_RS11135	VNG_RS11535	0.997226						0	1.000000	0.089701
VNG_RS13340	VNG_RS02845	0.997218						0	1.000000	0.089318
VNG_RS09340	VNG_RS07890	0.997211						0	-1.000000	0.089273
VNG_RS04600	VNG_RS11535	0.997203						0	1.000000	0.089215
VNG_RS00875	VNG_RS06930	0.997196						0	1.000000	0.089204
VNG_RS12330	VNG_RS02095	0.997188						0	1.000000	0.089142
VNG_RS04060	VNG_RS07155	0.997181						0	-1.000000	0.088998
VNG_RS09750	VNG_RS05640	0.997173						0	1.000000	0.088997
VNG_RS12665	VNG_RS07310	0.997166						0	1.000000	0.088888
VNG_RS11890	VNG_RS00150	0.997158						0	1.000000	0.088574
VNG_RS07355	VNG_RS07385	0.997151						0	1.000000	0.088524
VNG_RS07885	VNG_RS11895	0.997143						0	-1.000000	0.088184
VNG_RS12905	VNG_RS05640	0.997135						0	1.000000	0.087754
VNG_RS08280	VNG_RS00150	0.997128						0	1.000000	0.087743
VNG_RS09250	VNG_RS10230	0.997120						0	-1.000000	0.087373
VNG_RS02440	VNG_RS03570	0.997113						1	1.000000	0.087306
VNG_RS09850	VNG_RS03275	0.997105						0	1.000000	0.087173
VNG_RS13280	VNG_RS02845	0.997098						0	1.000000	0.086864
VNG_RS06505	VNG_RS08410	0.997090						0	1.000000	0.086780
VNG_RS02395	VNG_RS05365	0.997083						0	-1.000000	0.086639
VNG_RS01905	VNG_RS12735	0.997075						0	1.000000	0.086468
