target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	beta.sign.sum	var.exp.median
HVO_RS01010	HVO_RS00550	0.500004	0.000000	0.211538	0.031977	0.081533	0.055556	1.000000	0.447968
HVO_RS00595	HVO_RS07610	0.500003	0.000000	0.207547	0.031977	0.080745	0.055416	1.000000	0.447774
HVO_RS19265	HVO_RS06620	0.500003						1.000000	0.447750
HVO_RS00580	HVO_RS01980	0.500002						1.000000	0.447390
HVO_RS14925	HVO_RS14935	0.500002	1.000000	0.222222	0.034884	0.087325	0.060302	1.000000	0.447314
HVO_RS14870	HVO_RS00550	0.500001						1.000000	0.447023
HVO_RS12735	HVO_RS04530	0.500001						1.000000	0.446962
HVO_RS11615	HVO_RS01980	0.500000						1.000000	0.446896
HVO_RS14900	HVO_RS14935	0.500000						1.000000	0.446743
HVO_RS01065	HVO_RS00990	0.500000						1.000000	0.446701
HVO_RS04220	HVO_RS00550	0.499999						1.000000	0.446570
HVO_RS14850	HVO_RS00490	0.499999						1.000000	0.446568
HVO_RS02230	HVO_RS01530	0.499998						1.000000	0.446553
HVO_RS11470	HVO_RS06620	0.499998	0.000000	0.218182	0.034884	0.086512	0.060150	1.000000	0.446541
HVO_RS01560	HVO_RS00990	0.499997						1.000000	0.446476
HVO_RS01500	HVO_RS00990	0.499997						1.000000	0.446190
HVO_RS20330	HVO_RS01980	0.499996						1.000000	0.446141
HVO_RS01605	HVO_RS00490	0.499996						1.000000	0.446103
HVO_RS14405	HVO_RS01980	0.499995						1.000000	0.446034
HVO_RS12545	HVO_RS06620	0.499995						1.000000	0.445909
HVO_RS06005	HVO_RS01980	0.499994						1.000000	0.445906
HVO_RS03090	HVO_RS00990	0.499994						1.000000	0.445843
HVO_RS01455	HVO_RS03340	0.499993						1.000000	0.445799
HVO_RS04215	HVO_RS00550	0.499993						1.000000	0.445752
HVO_RS08030	HVO_RS11360	0.499992						1.000000	0.445649
HVO_RS06345	HVO_RS05530	0.499992						1.000000	0.445495
HVO_RS03635	HVO_RS01980	0.499991						1.000000	0.445241
HVO_RS07635	HVO_RS02245	0.499991						1.000000	0.445178
HVO_RS20245	HVO_RS01980	0.499990						1.000000	0.445168
HVO_RS01665	HVO_RS00490	0.499990						1.000000	0.445099
HVO_RS00305	HVO_RS00320	0.499989						1.000000	0.445060
HVO_RS06895	HVO_RS03340	0.499989						1.000000	0.444777
HVO_RS01085	HVO_RS00550	0.499988						1.000000	0.444658
HVO_RS18745	HVO_RS18865	0.499988						1.000000	0.444279
HVO_RS06125	HVO_RS01980	0.499987						1.000000	0.444118
HVO_RS04135	HVO_RS02040	0.499987						1.000000	0.444031
HVO_RS18840	HVO_RS01980	0.499986	0.000000	0.214286	0.034884	0.085721	0.060000	1.000000	0.443330
HVO_RS13180	HVO_RS04055	0.499986						1.000000	0.443274
HVO_RS00170	HVO_RS01530	0.499985	0.000000	0.210526	0.034884	0.084952	0.059850	1.000000	0.443228
HVO_RS00160	HVO_RS00550	0.499985						1.000000	0.442679
HVO_RS13870	HVO_RS01980	0.499984						1.000000	0.442516
HVO_RS18965	HVO_RS00550	0.499984						1.000000	0.442366
HVO_RS06685	HVO_RS17680	0.499983						1.000000	0.441860
HVO_RS08495	HVO_RS00550	0.499983						1.000000	0.441852
HVO_RS18815	HVO_RS01980	0.499982						1.000000	0.441687
HVO_RS02875	HVO_RS05530	0.499982						1.000000	0.441655
HVO_RS03270	HVO_RS01240	0.499981						1.000000	0.441537
HVO_RS04040	HVO_RS01980	0.499981						1.000000	0.441339
HVO_RS17580	HVO_RS01840	0.499980						1.000000	0.441296
HVO_RS02065	HVO_RS01980	0.499980	0.000000	0.206897	0.034884	0.084201	0.059701	1.000000	0.441196
HVO_RS09020	HVO_RS11235	0.499979	0.000000	0.203390	0.034884	0.083470	0.059553	1.000000	0.440780
HVO_RS00545	HVO_RS00550	0.499979						1.000000	0.440750
HVO_RS01820	HVO_RS10345	0.499978						1.000000	0.440693
HVO_RS10055	HVO_RS18865	0.499978						1.000000	0.440521
HVO_RS17465	HVO_RS12155	0.499977						1.000000	0.440448
HVO_RS10890	HVO_RS10420	0.499977						1.000000	0.440397
HVO_RS01645	HVO_RS07610	0.499977						1.000000	0.440393
HVO_RS19885	HVO_RS03020	0.499976						1.000000	0.440352
HVO_RS00065	HVO_RS17680	0.499976						1.000000	0.440259
HVO_RS10425	HVO_RS03275	0.499975						1.000000	0.440235
HVO_RS07905	HVO_RS11235	0.499975						1.000000	0.440001
HVO_RS03665	HVO_RS01980	0.499974	0.000000	0.200000	0.034884	0.082758	0.059406	1.000000	0.439946
HVO_RS11890	HVO_RS06620	0.499974						1.000000	0.439725
HVO_RS15195	HVO_RS05530	0.499973						1.000000	0.439635
HVO_RS01610	HVO_RS04195	0.499973						1.000000	0.439575
HVO_RS01300	HVO_RS14935	0.499972	0.000000	0.196721	0.034884	0.082062	0.059259	1.000000	0.439531
HVO_RS04065	HVO_RS04055	0.499972						1.000000	0.439428
HVO_RS01530	HVO_RS10785	0.499971						1.000000	0.439415
HVO_RS05625	HVO_RS06620	0.499971						1.000000	0.439242
HVO_RS19855	HVO_RS03340	0.499970						1.000000	0.439234
HVO_RS11055	HVO_RS12155	0.499970						1.000000	0.439078
HVO_RS00155	HVO_RS00550	0.499969	0.000000	0.193548	0.034884	0.081384	0.059113	1.000000	0.438939
HVO_RS02310	HVO_RS10785	0.499969						1.000000	0.438915
HVO_RS00135	HVO_RS00490	0.499968						1.000000	0.438912
HVO_RS03815	HVO_RS01980	0.499968						1.000000	0.438775
HVO_RS17780	HVO_RS14485	0.499967						1.000000	0.438735
HVO_RS00180	HVO_RS01240	0.499967						1.000000	0.438734
HVO_RS11485	HVO_RS10345	0.499966						1.000000	0.438630
HVO_RS06055	HVO_RS01980	0.499966						1.000000	0.438552
HVO_RS19680	HVO_RS01980	0.499965						1.000000	0.438499
HVO_RS07480	HVO_RS07610	0.499965						1.000000	0.438315
HVO_RS19690	HVO_RS04530	0.499964						1.000000	0.438229
HVO_RS00935	HVO_RS01980	0.499964	0.000000	0.190476	0.034884	0.080721	0.058968	1.000000	0.438125
HVO_RS07800	HVO_RS00990	0.499963						1.000000	0.438027
HVO_RS07465	HVO_RS01980	0.499963						1.000000	0.437941
HVO_RS00085	HVO_RS00550	0.499962						1.000000	0.437820
HVO_RS10050	HVO_RS05500	0.499962						1.000000	0.437752
HVO_RS03160	HVO_RS00665	0.499961						1.000000	0.437488
HVO_RS18820	HVO_RS05530	0.499961						1.000000	0.437457
HVO_RS09980	HVO_RS01980	0.499960						1.000000	0.437391
HVO_RS01250	HVO_RS01240	0.499960						1.000000	0.437320
HVO_RS01110	HVO_RS02040	0.499959						1.000000	0.437268
HVO_RS11000	HVO_RS01980	0.499959						1.000000	0.437212
HVO_RS01480	HVO_RS00550	0.499958						1.000000	0.437146
HVO_RS02805	HVO_RS01980	0.499958						1.000000	0.437137
HVO_RS10995	HVO_RS05500	0.499957						1.000000	0.437011
HVO_RS17695	HVO_RS10420	0.499957						1.000000	0.436968
HVO_RS18100	HVO_RS07610	0.499956	0.000000	0.187500	0.034884	0.080074	0.058824	1.000000	0.436841
HVO_RS13005	HVO_RS04485	0.499956						1.000000	0.436806
HVO_RS00435	HVO_RS00550	0.499955						1.000000	0.436799
HVO_RS15200	HVO_RS05530	0.499955						1.000000	0.436755
HVO_RS04475	HVO_RS04055	0.499955						1.000000	0.436627
HVO_RS06135	HVO_RS01980	0.499954						1.000000	0.436585
HVO_RS01020	HVO_RS00550	0.499954						1.000000	0.436171
HVO_RS02265	HVO_RS07610	0.499953	0.000000	0.184615	0.034884	0.079442	0.058680	1.000000	0.436060
HVO_RS02185	HVO_RS03340	0.499953						1.000000	0.435995
HVO_RS18070	HVO_RS06620	0.499952						1.000000	0.435894
HVO_RS01445	HVO_RS02330	0.499952						1.000000	0.435596
HVO_RS17535	HVO_RS01840	0.499951						1.000000	0.435542
HVO_RS01565	HVO_RS00490	0.499951						1.000000	0.435507
HVO_RS18190	HVO_RS05500	0.499950						1.000000	0.435484
HVO_RS06085	HVO_RS01980	0.499950						1.000000	0.435463
HVO_RS17710	HVO_RS10420	0.499949						1.000000	0.435358
HVO_RS18825	HVO_RS05530	0.499949						1.000000	0.435272
HVO_RS00125	HVO_RS01240	0.499948						1.000000	0.435123
HVO_RS13970	HVO_RS10345	0.499948	0.000000	0.181818	0.034884	0.078825	0.058537	1.000000	0.435064
HVO_RS04140	HVO_RS02040	0.499947	0.000000	0.179104	0.034884	0.078221	0.058394	1.000000	0.435011
HVO_RS09025	HVO_RS11235	0.499947						1.000000	0.434986
HVO_RS17715	HVO_RS10420	0.499946						1.000000	0.434956
HVO_RS13675	HVO_RS06620	0.499946						1.000000	0.434935
HVO_RS02545	HVO_RS02245	0.499945						1.000000	0.434924
HVO_RS05215	HVO_RS06620	0.499945						1.000000	0.434816
HVO_RS01035	HVO_RS00550	0.499944						1.000000	0.434515
HVO_RS19555	HVO_RS03340	0.499944						1.000000	0.434130
